TempTMT [°C],-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10:15-10:30,"1,4446","1,4447","1,4374","1,4274","1,4150","1,4001","1,3827","1,3629","1,3406","1,3160","1,1366","1,2596","1,2280","1,1940","1,1616","1,1266","1,0890","1,0529","1,0100","0,9646","0,8880","0,8140","0,7410","0,6698","0,6003","0,5326","0,4666","0,4024","0,3399","0,2790","0,2199","0,1636","0,1074","0,0410","0,0050"
10:30-10:45,"1,4336","1,4337","1,4264","1,4165","1,4042","1,3894","1,3721","1,3524","1,3303","1,3059","1,1279","1,2500","1,2186","1,1849","1,1527","1,1180","1,0806","1,0449","1,0023","0,9572","0,8812","0,8078","0,7353","0,6646","0,5957","0,5285","0,4631","0,3993","0,3373","0,2769","0,2182","0,1623","0,1066","0,0407","0,0049"
10:45-11:00,"1,4256","1,4257","1,4185","1,4087","1,3964","1,3817","1,3645","1,3449","1,3230","1,2987","1,1217","1,2430","1,2118","1,1783","1,1464","1,1118","1,0747","1,0391","0,9967","0,9519","0,8763","0,8033","0,7313","0,6610","0,5924","0,5256","0,4605","0,3971","0,3354","0,2754","0,2170","0,1614","0,1060","0,0404","0,0049"
11:00-11:15,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
11:15-11:30,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
11:30-11:45,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
11:45-12:00,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
12:00-12:15,"1,3553","1,3554","1,3485","1,3392","1,3275","1,3135","1,2972","1,2786","1,2577","1,2346","1,0664","1,1817","1,1520","1,1202","1,0898","1,0569","1,0216","0,9878","0,9476","0,9049","0,8331","0,7637","0,6952","0,6284","0,5632","0,4997","0,4378","0,3775","0,3188","0,2618","0,2063","0,1535","0,1008","0,0385","0,0047"
12:15-12:30,"1,3499","1,3500","1,3431","1,3338","1,3222","1,3083","1,2920","1,2735","1,2527","1,2297","1,0621","1,1770","1,1474","1,1157","1,0855","1,0527","1,0176","0,9839","0,9438","0,9013","0,8297","0,7607","0,6924","0,6259","0,5609","0,4977","0,4360","0,3760","0,3176","0,2607","0,2055","0,1528","0,1004","0,0383","0,0046"
12:30-12:45,"1,3388","1,3389","1,3321","1,3229","1,3114","1,2976","1,2814","1,2630","1,2424","1,2196","1,0534","1,1674","1,1380","1,1066","1,0766","1,0441","1,0092","0,9758","0,9360","0,8939","0,8229","0,7544","0,6868","0,6207","0,5563","0,4936","0,4325","0,3729","0,3150","0,2586","0,2038","0,1516","0,0996","0,0380","0,0046"
