gCO2/kwh;Date;Time
300.0744871;05.01.2022;18:30:00
299.9488093;05.01.2022;18:45:00
303.8292771;05.01.2022;19:00:00
304.3742773;05.01.2022;19:15:00
302.4942391;05.01.2022;19:30:00
302.05296;05.01.2022;19:45:00
302.9856716;05.01.2022;20:00:00
302.7368278;05.01.2022;20:15:00
303.1682984;05.01.2022;20:30:00
304.7275636;05.01.2022;20:45:00
305.0232539;05.01.2022;21:00:00
305.4024173;05.01.2022;21:15:00
306.3287984;05.01.2022;21:30:00
303.2317479;05.01.2022;21:45:00
315.2004957;05.01.2022;22:00:00
316.3698989;05.01.2022;22:15:00
316.9781321;05.01.2022;22:30:00
311.968616;05.01.2022;22:45:00
313.7439623;05.01.2022;23:00:00
310.2523017;05.01.2022;23:15:00
306.3719523;05.01.2022;23:30:00
302.5787517;05.01.2022;23:45:00
303.8649681;06.01.2022;00:00:00
302.1155431;06.01.2022;00:15:00
303.9553317;06.01.2022;00:30:00
306.5246718;06.01.2022;00:45:00
314.6698633;06.01.2022;01:00:00
320.7961255;06.01.2022;01:15:00
323.1532234;06.01.2022;01:30:00
327.401308;06.01.2022;01:45:00
337.9492362;06.01.2022;02:00:00
342.6144408;06.01.2022;02:15:00
347.7571918;06.01.2022;02:30:00
351.5678704;06.01.2022;02:45:00
353.3244332;06.01.2022;03:00:00
359.5234061;06.01.2022;03:15:00
365.3790731;06.01.2022;03:30:00
371.9658077;06.01.2022;03:45:00
379.2446801;06.01.2022;04:00:00
384.8760582;06.01.2022;04:15:00
388.4285635;06.01.2022;04:30:00
397.4002064;06.01.2022;04:45:00
403.6637604;06.01.2022;05:00:00
407.7455789;06.01.2022;05:15:00
418.4026298;06.01.2022;05:30:00
424.4001919;06.01.2022;05:45:00
427.2160175;06.01.2022;06:00:00
446.6244186;06.01.2022;06:15:00
453.7479791;06.01.2022;06:30:00
453.4610259;06.01.2022;06:45:00
457.3241142;06.01.2022;07:00:00
461.4913328;06.01.2022;07:15:00
455.7373959;06.01.2022;07:30:00
455.755129;06.01.2022;07:45:00
457.8558711;06.01.2022;08:00:00
456.0400961;06.01.2022;08:15:00
453.4821619;06.01.2022;08:30:00
455.975095;06.01.2022;08:45:00
463.8148841;06.01.2022;09:00:00
460.7859225;06.01.2022;09:15:00
461.3113135;06.01.2022;09:30:00
459.3223292;06.01.2022;09:45:00
461.2050509;06.01.2022;10:00:00
461.0632907;06.01.2022;10:15:00
458.8133467;06.01.2022;10:30:00
455.8303503;06.01.2022;10:45:00
454.9742362;06.01.2022;11:00:00
450.7394325;06.01.2022;11:15:00
449.9749652;06.01.2022;11:30:00
451.7378398;06.01.2022;11:45:00
457.0485236;06.01.2022;12:00:00
459.4882705;06.01.2022;12:15:00
462.6769227;06.01.2022;12:30:00
463.6258592;06.01.2022;12:45:00
465.450637;06.01.2022;13:00:00
467.2808246;06.01.2022;13:15:00
470.5612133;06.01.2022;13:30:00
473.9385442;06.01.2022;13:45:00
481.4944584;06.01.2022;14:00:00
489.642836;06.01.2022;14:15:00
495.7612228;06.01.2022;14:30:00
502.8765156;06.01.2022;14:45:00
507.7171276;06.01.2022;15:00:00
511.8075097;06.01.2022;15:15:00
516.23566;06.01.2022;15:30:00
518.810022;06.01.2022;15:45:00
521.8513759;06.01.2022;16:00:00
512.2058292;06.01.2022;16:15:00
509.0935844;06.01.2022;16:30:00
496.7097841;06.01.2022;16:45:00
487.5856915;06.01.2022;17:00:00
478.4694025;06.01.2022;17:15:00
470.0679397;06.01.2022;17:30:00
465.4351108;06.01.2022;17:45:00
457.9154245;06.01.2022;18:00:00
453.6486868;06.01.2022;18:15:00
451.5200342;06.01.2022;18:30:00
448.9751327;06.01.2022;18:45:00
435.450117;06.01.2022;19:00:00
430.1312104;06.01.2022;19:15:00
425.7803006;06.01.2022;19:30:00
420.872796;06.01.2022;19:45:00
418.429579;06.01.2022;20:00:00
412.8948047;06.01.2022;20:15:00
406.987536;06.01.2022;20:30:00
403.3555404;06.01.2022;20:45:00
401.0240062;06.01.2022;21:00:00
399.3630526;06.01.2022;21:15:00
398.5691964;06.01.2022;21:30:00
396.5718402;06.01.2022;21:45:00
394.7458012;06.01.2022;22:00:00
393.6268158;06.01.2022;22:15:00
393.2116584;06.01.2022;22:30:00
391.6210322;06.01.2022;22:45:00
382.8651876;06.01.2022;23:00:00
378.6689574;06.01.2022;23:15:00
373.7462999;06.01.2022;23:30:00
368.6071984;06.01.2022;23:45:00
370.9556035;07.01.2022;00:00:00
367.3009957;07.01.2022;00:15:00
359.6204091;07.01.2022;00:30:00
354.070871;07.01.2022;00:45:00
352.6521108;07.01.2022;01:00:00
346.4807134;07.01.2022;01:15:00
343.9262417;07.01.2022;01:30:00
341.5563604;07.01.2022;01:45:00
341.7259557;07.01.2022;02:00:00
337.3630038;07.01.2022;02:15:00
